"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",45078.1019653533,,
"NZL","New Zealand","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",46485.9194244812,,
"NZL","New Zealand","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",46917.2823620673,,
"CHL","Chile","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",25748.0101323588,,
"CHL","Chile","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",26218.8774918009,,
"CHL","Chile","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",25878.9466983828,,
"CHL","Chile","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",18550.72015209,,
"CHL","Chile","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",18889.9668965515,,
"CHL","Chile","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",18645.0562806491,,
"LVA","Latvia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",21587.446375434,,
"LVA","Latvia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",22726.2934400428,,
"LVA","Latvia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",23683.2583014375,,
"LVA","Latvia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",14048.0613316067,,
"LVA","Latvia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",14789.1676733531,,
"LVA","Latvia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",15411.9139135181,,
"LTU","Lithuania","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",21416.7244683409,,
"LTU","Lithuania","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",22562.3852919533,,
"LTU","Lithuania","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",24286.869242824,,
"LTU","Lithuania","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",12512.362452348,,
"LTU","Lithuania","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",13181.6955940096,,
"LTU","Lithuania","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",14189.1964501021,,
