"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",34554.8240369594,,
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",35191.0989982666,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",61975.0971464396,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",62090.9002076502,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",63062.2057815491,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",53170.9604153299,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",53294.8852909138,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",52876.5052161169,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",51662.6681639317,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",50824.869699419,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",51212.2142242616,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",24680.0727838435,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",25878.9078035933,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",27046.0965519544,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",25164.4538074836,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",25362.3486242956,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",25366.5016777539,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",23025.8893546157,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",23800.8915746605,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",24327.9817571446,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",39338.9353619615,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",39196.0989726629,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",38507.4944144873,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",41467.0510335515,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",42154.4897851354,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",42392.7553925393,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",62495.2828450202,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",62369.7478854347,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",62282.5688602117,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",43152.1720562389,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",43712.6196635994,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",43731.542692694,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",60691.6617126804,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",60685.8079109297,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",60558.3581202393,,
"AUS","Australia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",62168.473126873,,
"AUS","Australia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",62219.2367475812,,
"AUS","Australia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",61620.4167571564,,
"AUT","Austria","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",47677.653158046,,
"AUT","Austria","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",48287.7864709447,,
"AUT","Austria","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",48305.5212295243,,
"BEL","Belgium","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",50000.3970261826,,
"BEL","Belgium","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",49783.4151275707,,
"BEL","Belgium","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",49419.2179897467,,
"CAN","Canada","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",50086.816261891,,
"CAN","Canada","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",49768.3402237709,,
"CAN","Canada","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",50032.7281932308,,
"CZE","Czech Republic","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",14167.1821522872,,
"CZE","Czech Republic","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",14742.8256918172,,
"CZE","Czech Republic","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",15373.7781110136,,
"DNK","Denmark","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",65238.6937161956,,
"DNK","Denmark","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",66132.5695382958,,
"DNK","Denmark","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",65673.50764379,,
"FIN","Finland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",46686.447285914,,
"FIN","Finland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",46962.6810936008,,
"FIN","Finland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",46771.8799378975,,
"FRA","France","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",41417.2641740965,,
"FRA","France","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",41891.5162178726,,
"FRA","France","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",42409.7897552237,,
"DEU","Germany","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",43366.7327992577,,
"DEU","Germany","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",44009.5848101042,,
"DEU","Germany","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",44466.3046459767,,
"GRC","Greece","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",19746.0521785395,,
"GRC","Greece","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",19741.8697772484,,
"GRC","Greece","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",19542.3740631063,,
"HUN","Hungary","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",11040.0082893689,,
"HUN","Hungary","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",11536.1865844997,,
"HUN","Hungary","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",12506.4587905991,,
"IRL","Ireland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",51894.5123603073,,
"IRL","Ireland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",52308.4990023429,,
"IRL","Ireland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",53111.9027020286,,
"ITA","Italy","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",33031.2253476574,,
"ITA","Italy","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",33267.7598901805,,
"ITA","Italy","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",32931.267038013,,
"JPN","Japan","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",37430.8167949777,,
"JPN","Japan","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",38064.1993307785,,
"JPN","Japan","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",38234.221963157,,
"KOR","Korea","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",29813.856106794,,
"KOR","Korea","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",30822.2781895378,,
"KOR","Korea","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",31389.8239493273,,
"LUX","Luxembourg","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",70474.0288952555,,
"LUX","Luxembourg","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",70605.7125659181,,
"LUX","Luxembourg","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",71710.217766117,,
"NLD","Netherlands","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",52998.8896947195,,
"NLD","Netherlands","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",53122.4135272814,,
"NLD","Netherlands","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",52705.3874051007,,
"NOR","Norway","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",66364.5601343676,,
"NOR","Norway","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",65288.3453635351,,
"NOR","Norway","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",65785.9183678961,,
"POL","Poland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",12255.6589984072,,
"POL","Poland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",12850.9778747364,,
"POL","Poland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",13430.5818091323,,
"PRT","Portugal","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",19056.9750976996,,
"PRT","Portugal","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",19206.8403252465,,
"PRT","Portugal","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",19209.9854217758,,
"SVK","Slovak Republic","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",14084.0825432824,,
"SVK","Slovak Republic","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",14558.1226583127,,
"SVK","Slovak Republic","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",14880.5241744293,,
"ESP","Spain","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",32318.4157367665,,
"ESP","Spain","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",32201.070267978,,
"ESP","Spain","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",31635.3557110236,,
"SWE","Sweden","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",46739.3687341262,,
