"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,4.1667928,,
"CZE","Czech Republic","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,4.5729191,,
"EST","Estonia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,3.7244071,,
"EST","Estonia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,4.1004062,,
"EST","Estonia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,4.3338372,,
"IRL","Ireland","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,9.7816162,,
"IRL","Ireland","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.346168,,
"IRL","Ireland","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.423744,,
"USA","United States","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.497846,,
"USA","United States","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.4044329,,
"USA","United States","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,7.25,,
"AUS","Australia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,13.516061,,
"AUS","Australia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,13.67381,,
"AUS","Australia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,13.795661,,
"LUX","Luxembourg","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,11.247868,,
"LUX","Luxembourg","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,11.215251,,
"LUX","Luxembourg","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,11.450744,,
"HUN","Hungary","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,4.0763471,,
"HUN","Hungary","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,4.2956015,,
"HUN","Hungary","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,4.7638756,,
"GBR","United Kingdom","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,8.353913,,
"GBR","United Kingdom","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,8.5363845,,
"GBR","United Kingdom","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,8.6545445,,
"CAN","Canada","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,8.48059,,
"CAN","Canada","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,8.6116503,,
"CAN","Canada","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,8.7614054,,
"GRC","Greece","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,3.6983115,,
"GRC","Greece","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,3.7291011,,
"GRC","Greece","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,3.6877519,,
"FRA","France","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,10.961275,,
"FRA","France","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,11.009527,,
"FRA","France","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.998459,,
"NLD","Netherlands","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,9.84618,,
"NLD","Netherlands","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.005283,,
"NLD","Netherlands","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.046871,,
"CAN","Canada","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,8.1007036,,
"CAN","Canada","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,8.2258931,,
"CAN","Canada","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,8.3689399,,
"POL","Poland","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.7013197,,
"POL","Poland","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.8747916,,
"POL","Poland","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,3.0446772,,
"ESP","Spain","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,4.9918814,,
"ESP","Spain","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,5.0529185,,
"ESP","Spain","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,5.3530889,,
