,LOCATION,LE_16,HAP_16
0,Australia,82.5,7.313
1,Austria,81.7,7.119
2,Belgium,81.5,6.928999999999999
3,Czech Republic,79.1,6.596
4,Denmark,80.9,7.526
5,Finland,81.5,7.412999999999999
6,Germany,81.1,6.994
7,Greece,81.5,5.033
8,Hungary,76.2,5.145
9,Iceland,82.3,7.501
10,Ireland,81.8,6.907
11,Italy,83.3,5.977
12,Japan,84.1,5.921
13,Luxembourg,82.8,6.871
14,Mexico,75.2,6.778
15,Netherlands,81.6,7.3389999999999995
16,New Zealand,81.7,7.334
17,Norway,82.5,7.497999999999999
18,Poland,78.0,5.835
19,Portugal,81.2,5.122999999999999
20,Spain,83.4,6.361000000000001
21,Sweden,82.4,7.291
22,Switzerland,83.7,7.5089999999999995
23,Turkey,78.0,5.388999999999999
24,United Kingdom,81.2,6.725
25,United States,78.6,7.104
26,Estonia,77.8,5.517
27,Israel,82.5,7.267
28,Russia,71.8,5.856
29,Slovenia,81.3,5.768
30,Latvia,74.7,5.56
31,Lithuania,74.8,5.813
