LOCATION,LE_16
Australia,82.5
Austria,81.7
Belgium,81.5
Czech Republic,79.1
Denmark,80.9
Finland,81.5
Germany,81.1
Greece,81.5
Hungary,76.2
Iceland,82.3
Ireland,81.8
Italy,83.3
Japan,84.1
Korea,82.4
Luxembourg,82.8
Mexico,75.2
Netherlands,81.6
New Zealand,81.7
Norway,82.5
Poland,78.0
Portugal,81.2
Slovak Republic,77.3
Spain,83.4
Sweden,82.4
Switzerland,83.7
Turkey,78.0
United Kingdom,81.2
United States,78.6
Estonia,77.8
Israel,82.5
Russia,71.8
Slovenia,81.3
Latvia,74.7
Lithuania,74.8
