LOCATION,P_2015
Norway,78.3
Austria,69.8
New Zealand,88.9
Belgium,74.6
United States,88.1
Turkey,66.4
Ireland,82.3
Hungary,56.3
Estonia,51.4
Chile,57.4
Luxembourg,70.4
Slovak Republic,65.9
Denmark,71.6
Czech Republic,61.2
Netherlands,76.2
Poland,57.8
Canada,89.0
Germany,64.5
Finland,69.8
Israel,83.9
Portugal,46.4
Slovenia,64.8
Spain,72.4
Korea,32.5
Switzerland,79.7
Greece,74.4
Iceland,76.3
Italy,65.6
United Kingdom,69.8
France,67.8
Sweden,77.7
Lithuania,42.6
Latvia,46.2
