LOCATION,AVRG_WAGE_17
Australia,49125.867234182304
Austria,50348.9401981944
Belgium,49674.995047686396
Canada,47621.843652616604
Czech Republic,25372.042963487598
Denmark,51466.3004625045
Finland,42963.6679912954
France,43755.3289332253
Germany,47585.308781889005
Greece,26064.293844866403
Hungary,22575.997502355298
Ireland,47652.9265017035
Italy,36658.3960819554
Japan,40862.605531952
Korea,35191.0989982666
Luxembourg,63062.2057815491
Netherlands,52876.50521611691
Norway,51212.2142242616
Poland,27046.0965519544
Portugal,25366.501677753902
Slovak Republic,24327.9817571446
Spain,38507.4944144873
Sweden,42392.7553925393
Switzerland,62282.5688602117
United Kingdom,43731.542692694
United States,60558.358120239296
Mexico,15313.939957941102
Israel,35067.4493018789
Slovenia,34932.728296191
Estonia,24335.975103884102
Iceland,61786.887311739905
New Zealand,40042.6295981091
Chile,25878.9466983828
Latvia,23683.2583014375
Lithuania,24286.869242824
