LOCATION,AVRG_WAGE_17,HAP_17
Australia,49125.867234182304,7.28399991989136
Austria,50348.9401981944,7.00600004196167
Belgium,49674.995047686396,6.89099979400635
Canada,47621.843652616604,7.31599998474121
Czech Republic,25372.042963487598,6.60900020599365
Denmark,51466.3004625045,7.52199983596802
Finland,42963.6679912954,7.468999862670901
France,43755.3289332253,6.44199991226196
Germany,47585.308781889005,6.9510002136230495
Greece,26064.293844866403,5.2270002365112305
Hungary,22575.997502355298,5.32399988174438
Ireland,47652.9265017035,6.9770002365112305
Italy,36658.3960819554,5.96400022506714
Japan,40862.605531952,5.92000007629395
Luxembourg,63062.2057815491,6.86299991607666
Netherlands,52876.50521611691,7.3769998550415
Norway,51212.2142242616,7.537000179290769
Poland,27046.0965519544,5.97300004959106
Portugal,25366.501677753902,5.19500017166138
Spain,38507.4944144873,6.40299987792969
Sweden,42392.7553925393,7.28399991989136
Switzerland,62282.5688602117,7.49399995803833
United Kingdom,43731.542692694,6.71400022506714
United States,60558.358120239296,6.993000030517581
Mexico,15313.939957941102,6.57800006866455
Israel,35067.4493018789,7.212999820709231
Slovenia,34932.728296191,5.75799989700317
Estonia,24335.975103884102,5.61100006103516
Iceland,61786.887311739905,7.50400018692017
New Zealand,40042.6295981091,7.31400012969971
Chile,25878.9466983828,6.65199995040894
Latvia,23683.2583014375,5.849999904632571
Lithuania,24286.869242824,5.90199995040894
