LOCATION,AVRG_WAGE_15,HAP_15
Australia,49562.796191700596,7.284
Austria,49694.512067028896,7.2
Belgium,50259.1820690747,6.937
Canada,47673.3254254925,7.4270000000000005
Czech Republic,23380.7429536061,6.505
Denmark,51125.550211060196,7.527
Finland,42885.191348913104,7.406000000000001
France,42731.3134045579,6.575
Germany,46408.609565019695,6.75
Greece,26335.9459089031,4.857
Hungary,19928.838669673798,4.8
Ireland,46560.6626300175,6.94
Italy,36769.6675766841,5.9479999999999995
Japan,40003.970864263996,5.987
Luxembourg,61975.0971464396,6.946000000000001
Netherlands,53170.9604153299,7.377999999999999
Norway,51662.668163931696,7.522
Poland,24680.0727838435,5.791
Portugal,25164.4538074836,5.102
Spain,39338.9353619615,6.329
Sweden,41467.0510335515,7.364
Switzerland,62495.28284502019,7.587000000000001
United Kingdom,43152.1720562389,6.867000000000001
United States,60691.6617126804,7.119
Mexico,15480.820731318301,7.187
Israel,33018.9879986887,7.278
Slovenia,33699.331893987,5.848
Estonia,22839.678852084,5.428999999999999
Iceland,51758.617053044596,7.561
New Zealand,38472.938949333104,7.2860000000000005
Chile,25748.0101323588,6.67
Latvia,21587.446375434,5.098
Lithuania,21416.7244683409,5.832999999999999
